Deskripsi Kode|Material|Plant|Sloc|Quantity
Billet (Produksi)|BS1KS1006-3271|BSP|B102|                  1,540
Billet (Produksi)|BS1KS1006-3271|WRM|W001|                 24,862
Billet (Produksi)|BS1KS1006-3371|BSP|B100|                  3,495
Billet (Produksi)|BS1KS1006-3371|BSP|B102|                  1,165
Billet (Produksi)|BS1KS1006-3371|WRM|W001|                 10,485
Billet (Produksi)|BS1KS1006E1-3272|BSP|B101|                  0,776
Billet (Produksi)|BS1KS1006E1-3272|BSP|B102|                  3,896
Billet (Produksi)|BS1KS1006E1-3272|WRM|W001|                 93,120
Billet (Produksi)|BS1KS1006E3-3372|BSP|B102|                  1,169
Billet (Produksi)|BS1KS1006E3-3372|WRM|W001|                  1,169
Billet (Produksi)|BS1KS1008-3271|BSP|B102|                  5,208
Billet (Produksi)|BS1KS1008-3371|BSP|B100|                  1,165
Billet (Produksi)|BS1KS1008-3371|BSP|B102|                  5,825
Billet (Produksi)|BS1KS1008-3372|WRM|W001|                 76,890
Billet (Produksi)|BS1KS1008C-3272|BSP|B102|                  1,560
Billet (Produksi)|BS1KS1008C-3273|BSP|B102|                  0,780
Billet (Produksi)|BS1KS1008C-3373|WRM|W001|                  2,330
Billet (Produksi)|BS1KS1008C-3473|BSP|B102|                  4,665
Billet (Produksi)|BS1KS1008E2-3372|WRM|W001|                 20,970
Billet (Produksi)|BS1KS1008K-3371|WRM|W001|                 30,290
Billet (Produksi)|BS1KS1010-3271|WRM|W001|                 14,744
Billet (Produksi)|BS1KS1010-3371|BSP|B102|                 43,105
Billet (Produksi)|BS1KS1012-3271|WRM|W001|                  1,552
Billet (Produksi)|BS1KS1012-3371|BSP|B102|                  1,165
Billet (Produksi)|BS1KS1015-2270|BSP|B102|                  0,680
Billet (Produksi)|BS1KS1015-2470|BSP|B101|                  1,332
Billet (Produksi)|BS1KS1015-3270|BSP|B102|                  1,560
Billet (Produksi)|BS1KS1015-3271|WRM|W001|                  3,104
Billet (Produksi)|BS1KS1015-3370|BSP|B102|                 13,980
Billet (Produksi)|BS1KS1015-3371|WRM|W001|                  1,165
Billet (Produksi)|BS1KS1015C-3273|BSP|B102|                  2,340
Billet (Produksi)|BS1KS1015C-3473|BSP|B102|                  3,110
Billet (Produksi)|BS1KS1020-3271|BSP|B102|                  0,676
Billet (Produksi)|BS1KS1032-3374|WRM|W001|                  9,360
Billet (Produksi)|BS1KS1062A-3374|WRM|W001|                  2,344
Billet (Produksi)|BS1KS1062B-3374|BSP|B102|                  1,172
Billet (Produksi)|BS1KS1067A-3373|BSP|B102|                  5,860
Billet (Produksi)|BS1KS1067A-3373|BSP|B111|                  1,172
Billet (Produksi)|BS1KS1067A-3373|WRM|W001|                  7,032
Billet (Produksi)|BS1KS1067A-3374|BSP|B102|                  4,688
Billet (Produksi)|BS1KS1067B-3373|BSP|B102|                  2,344
Billet (Produksi)|BS1KS1067B-3373|BSP|B111|                  2,344
Billet (Produksi)|BS1KS1067B-3374|BSP|B100|                  4,688
Billet (Produksi)|BS1KS1067B-3374|BSP|B101|                  3,516
Billet (Produksi)|BS1KS1067B-3374|BSP|B102|                  3,516
Billet (Produksi)|BS1KS1072B-3374|BSP|B101|                  3,516
Billet (Produksi)|BS1KS1077B-3373|WRM|W001|                 15,236
Billet (Produksi)|BS1KS1082B2-3274|BSP|B100|                  0,779
Billet (Produksi)|BS1KS1082B2-3274|BSP|B101|                 17,138
Billet (Produksi)|BS1KS1082B2-3374|BSP|B101|                  0,003
Billet (Produksi)|BS1KS1082B2-3374|WRM|W001|                  1,172
Billet (Produksi)|BS1KS1082B2-3474|BSP|B101|                 44,600
Billet (Produksi)|BS1KS1082B2-3474|BSP|B102|                 76,195
Billet (Produksi)|BS1KS1208WS-3372|WRM|W001|                  2,344
Billet (Produksi)|BS1KS1230-3270|BSP|B100|                  2,328
Billet (Produksi)|BS1KS1230-3270|BSP|B101|                  0,776
Billet (Produksi)|BS1KS1318-3370|BSP|B101|                  3,516
Billet (Produksi)|BS1KS1318-3370|WRM|W001|                 21,096
Billet (Produksi)|BS1KS1325V2-2470|BSP|B102|                  5,238
Billet (Produksi)|BS1KS1325V2-3270|BSP|B102|                  0,776
Billet (Produksi)|BS1KS1325V3-3270|BSP|B102|                  5,432
Billet (Produksi)|BS1KS1325V4-3270|BSP|B102|                  3,896
Billet (Produksi)|BS1KS1330N-3370|WRM|W001|                  2,344
Billet (Produksi)|BS1KS24-3370|BSP|B102|                 83,880
Billet (Produksi)|BS1KS24-3470|BSP|B102|                  1,555
Billet (Impor)|BS3KS1006E1-5372|WRM|W001|                 23,746
Billet (Impor)|BS3KS1008-5371|WRM|W001|              1.380,523
Billet (Impor)|BS3KS1008ACH-5375|WRM|W001|                 14,220
Billet (Impor)|BS3KS1067B-5374|WRM|W001|                  1,581
Billet (Impor)|BS51A0603-E250|WRM|W001|                514,807
CRC|CCF|CRM|C009|                  4,710
CRC|CCF|CRM|C009|                  4,930
CRC|CCF|CRM|C009|                 10,090
CRC|CCF|CRM|C009|                  8,190
CRC|CCF|CRM|C009|                  6,980
CRC|CCF|CRM|C009|                  3,400
CRC|CCF|CRM|C009|                 15,690
CRC|CCF|CRM|C009|                 13,895
CRC|CCF|CRM|C009|                  6,745
CRC|CCF|CRM|C009|                 11,070
CRC|CCF|CRM|C009|                  6,510
CRC|CCF|CRM|C009|                  9,540
CRC|CCF|CRM|C009|                  6,940
CRC|CCF|CRM|C009|                  6,860
CRC|CCF|CRM|C101|                  7,490
CRC|CCF|CRM|C101|                 42,840
CRC|CCF|CRM|C101|                 15,835
CRC|CCF|CRM|C101|                  7,380
CRC|CCF|CRM|C101|                 12,740
CRC|CCF|CRM|C101|                  7,620
CRC|CCF|CRM|C101|                 13,480
CRC|CCF|CRM|C101|                  7,060
CRC|CCF|CRM|C101|                  7,000
CRC|CCF|CRM|C101|                 23,100
CRC|CCF|CRM|C101|                 56,315
CRC|CCF|CRM|C101|                 18,880
CRC|CCF|CRM|C101|                  9,370
CRC|CCF|CRM|C101|                  9,500
CRC|CCF|CRM|C101|                 78,290
CRC|CCF|CRM|C101|                 15,750
CRC|CCF|CRM|C101|                 39,445
CRC|CCF|CRM|C101|                  8,080
CRC|CCF|CRM|C101|                 16,220
CRC|CCF|CRM|C101|              1.034,910
CRC|CCF|CRM|C101|                 15,350
CRC|CCF|CRM|C101|                 12,450
CRC|CCF|CRM|C101|                  4,580
CRC|CCF|CRM|C101|                  6,520
CRC|CCF|CRM|C101|                  9,460
CRC|CCF|CRM|C101|                 19,175
CRC|CCF|CRM|C101|                  7,395
CRC|CCF|CRM|C101|                138,600
CRC|CCF|CRM|C101|                 83,340
CRC|CCF|CRM|C101|                 85,940
CRC|CCF|CRM|C101|                 70,020
CRC|CCF|CRM|C101|                274,490
CRC|CCF|CRM|C101|                585,670
CRC|CCF|CRM|C101|                283,030
CRC|CCF|CRM|C101|                181,150
CRC|CCF|CRM|C101|                  6,545
CRC|CCF|CRM|C101|                  4,040
CRC|CCF|CRM|C101|                  7,090
CRC|CCF|CRM|C101|                  6,100
CRC|CCF|CRM|C101|                 45,395
CRC|CCF|CRM|C101|                 12,690
CRC|CCF|CRM|C101|                  7,200
CRC|CCF|CRM|C101|                  6,645
CRC|CCF|CRM|C101|                  5,720
CRC|CCF|CRM|C101|                 19,760
CRC|CCF|CRM|C101|                  5,890
CRC|CCF|CRM|C101|                 18,700
CRC|CCF|CRM|C101|                 19,510
CRC|CCF|CRM|C101|                  4,795
CRC|CCF|CRM|C101|                  4,905
CRC|CCF|CRM|C101|                  7,580
CRC|CCF|CRM|C101|                  9,150
CRC|CCF|CRM|C101|                  5,840
CRC|CCF|CRM|C101|                  6,645
CRC|CCF|CRM|C101|                  6,335
CRC|CCF|CRM|C102|                 28,050
CRC|CCF|CRM|C102|                 18,320
CRC|CCF|CRM|C102|                  8,960
CRC|CCF|CRM|C102|                  9,240
CRC|CCF|CRM|C102|                  5,650
CRC|CCF|CRM|C102|                 25,480
CRC|CCF|CRM|C102|                  5,930
CRC|CCF|CRM|C102|                  4,040
CRC|CCF|CRM|C102|                 27,250
CRC|CCF|CRM|C102|                 64,150
CRC|CCF|CRM|C102|                 12,690
CRC|CCF|CRM|C102|                  3,480
CRC|CCF|CRM|C102|                 20,100
CRC|CCF|CRM|C102|                 10,850
CRC|CCF|CRM|C102|                  9,720
CRC|CCF|CRM|C102|                  4,560
CRC|CCF|CRM|C102|                 11,950
CRC|CCF|CRM|C102|                 10,280
CRC|CCF|CRM|C102|                  9,910
CRC|CCF|CRM|C102|                  7,820
CRC|CCF|CRM|C102|                 10,860
CRC|CCF|CRM|C102|                 16,320
CRC|CCF|CRM|C102|                  9,780
CRC|CCF|CRM|C102|                 19,620
CRC|CCF|CRM|C102|                  7,110
CRC|CCF|CRM|C102|                  8,620
CRC|CCF|CRM|C103|                 16,150
CRC|CCF|CRM|C103|                  9,960
CRC|CCF|CRM|C103|                 16,480
CRC|CCF|CRM|C103|                 27,690
CRC|CCF|CRM|C103|                 27,060
CRC|CCF|CRM|C103|                  9,640
CRC|CCF|CRM|C103|                 17,100
CRC|CCF|CRM|C103|                  9,350
CRC|CCF|CRM|C103|                  6,310
CRC|CCF|CRM|C103|                  7,570
CRC|CCF|CRM|C103|                 10,460
CRC|CCF|CRM|C103|                 20,910
CRC|CCF|CRM|C103|                 10,010
CRC|CCF|CRM|C103|                 18,840
CRC|CCF|CRM|C103|                  9,610
CRC|CCF|CRM|C103|                 18,890
CRC|CCF|CRM|C103|                  9,430
CRC|CCF|CRM|C103|                 19,110
CRC|CCF|CRM|C103|                 27,730
CRC|CCF|CRM|C103|                  9,470
CRC|CCF|CRM|C104|                  6,920
CRC|CCF|CRM|C104|                  7,230
CRC|CCF|CRM|C104|                 17,190
CRC|CCF|CRM|C104|                 23,580
CRC|CCF|CRM|C104|                  9,370
CRC|CCF|CRM|C104|                 48,390
CRC|CCF|CRM|C104|                254,000
CRC|CCF|CRM|C104|                445,380
CRC|CCF|CRM|C104|                635,110
CRC|CCF|CRM|C104|                 33,570
CRC|CCF|CRM|C104|                  8,900
CRC|CCF|CRM|C104|                  9,500
CRC|CCF|CRM|C104|                  5,540
CRC|CCF|CRM|C104|                 25,470
CRC|CCF|CRM|C104|                  5,990
CRC|CCF|CRM|C104|                  7,840
CRC|CCF|CRM|C104|                  8,940
CRC|CCF|CRM|C104|                 10,680
CRC|CCF|CRM|C104|                  9,510
CRC|CCF|CRM|C104|                 19,880
CRC|CCF|CRM|C104|                 20,530
CRC|CCF|CRM|C104|                 10,620
CRC|CCF|CRM|C104|                  9,670
CRC|CCF|CRM|C104|                 41,310
CRC|CCF|CRM|C104|                 31,360
CRC|CCF|CRM|C104|                  9,430
CRC|CCF|CRM|C104|                 21,540
CRC|CCF|CRM|C104|                  8,130
CRC|CCF|CRM|C104|                  9,660
CRC|CCF|CRM|C104|                  8,290
CRC|CCF|CRM|C104|                  9,010
CRC|CCF|CRM|C403|                  2,690
CRC|CCF|CRM|INTR|                  7,910
CRC|CCF|CRM|INTR|                  9,570
CRC|CCF|CRM|INTR|                 10,850
CRC|CCF|CRM|INTR|                  8,610
CRC|CCF|CRM|INTR|                  7,740
CRC|CCF|CRM|INTR|                  3,690
CRC|CCF|CRM|INTR|                  8,120
CRC|CCF|CRM|INTR|                  4,380
CRC|CCF|CRM|INTR|                  8,010
CRC|CCF|CRM|INTR|                 10,420
CRC|CCF|CRM|INTR|                  9,780
CRC|CCF-S|CRM||                 45,059
CRC|CCF-S|CRM||                  0,055
CRC|CCF-S|CRM|C009|                 38,125
CRC|CCF-S|CRM|C101|              1.209,690
CRC|CCF-S|CRM|C102|                553,900
CRC|CCF-S|CRM|C103|                560,310
CRC|CCF-S|CRM|C104|              1.148,110
CRC|CCF-S|CRM|C405|                 17,090
CRC|CCF-S|CRM|INTR|                 71,830
CRC|CSF|CRM|C009|                  1,878
CRC|CSF|CRM|C009|                  2,740
CRC|CSF|CRM|C009|                  7,428
CRC|CSF|CRM|C103|                 58,196
CRC|CSF|CRM|C103|                216,598
CRC|CSF|CRM|C103|                  9,702
CRC|CSF|CRM|C103|                 35,020
CRC|CSF|CRM|C103|                762,075
CRC|CSF|CRM|C103|                238,029
CRC|CSF|CRM|C103|                 22,798
CRC|CSF|CRM|C615|                143,405
CRC|CSF|CRM|C615|                  5,478
CRC|CSF|CRM|C615|                  7,256
CRC|CSF|CRM|C615|                818,627
CRC|CSF|CRM|C615|                446,191
CRC|CSF|CRM|C615|                 16,193
CRC|CSF|CRM|C616|                 31,436
CRC|CSF|CRM|C616|                 32,510
CRC|CSF|CRM|C616|                242,426
CRC|CSF|CRM|C616|                 65,066
CRC|CSF|CRM|C616|                 26,594
CRC|CSF|CRM|INTR|                 60,082
CRC|CSF|CRM|INTR|                105,956
CRC|CSF|CRM|INTR|                 35,434
CRC|CSF|CRM|INTR|                  1,380
CRC|CSF|CRM|INTR|                  7,810
CRC|CSF|CRM|INTR|                129,677
CRC|CSF|CRM|INTR|                  2,728
CRC|CSF|CRM|INTR|                  1,848
CRC|CSF|CRM|INTR|                  1,004
CRC|CSF|CRM|INTR|                  1,876
CRC|CSF|CRM|INTR|                  1,462
CRC|CSF|CRM|INTR|                  8,224
CRC|CSF-S|CRM|C103|                454,456
CRC|CSF-S|CRM|C615|                  5,106
CRC|CSF-S|CRM|INTR|                259,728
DRI|DR101|DRP|D101|                682,496
DRI|DR101|DRP|D102|              9.620,376
DRI|DR101|DRP|D103|              1.268,970
DRI|DR101|SSP|S05A|                 71,290
DRI|DR101|SSP|S05B|              1.857,430
CRC|FCF|CRM|C009|                  7,035
CRC|FCF|CRM|C009|                  9,585
CRC|FCF|CRM|C009|                 14,700
CRC|FCF|CRM|C009|                 15,040
CRC|FCF|CRM|C009|                  9,660
CRC|FCF|CRM|C009|                 10,420
CRC|FCF|CRM|C009|                  7,730
CRC|FCF|CRM|C009|                  8,130
CRC|FCF|CRM|C009|                 10,360
CRC|FCF|CRM|C009|                  9,260
CRC|FCF|CRM|C009|                  4,450
CRC|FCF|CRM|C009|                 18,430
CRC|FCF|CRM|C009|                 46,910
CRC|FCF|CRM|C009|                 11,490
CRC|FCF|CRM|C009|                 16,120
CRC|FCF|CRM|C009|                  8,160
CRC|FCF|CRM|C101|                 34,870
CRC|FCF|CRM|C101|                  6,470
CRC|FCF|CRM|C101|                  6,390
CRC|FCF|CRM|C101|                  6,510
CRC|FCF|CRM|C101|                  6,620
CRC|FCF|CRM|C101|                  6,860
CRC|FCF|CRM|C101|                 57,695
CRC|FCF|CRM|C101|                 49,760
CRC|FCF|CRM|C101|                 67,610
CRC|FCF|CRM|C101|                 14,520
CRC|FCF|CRM|C101|                  9,295
CRC|FCF|CRM|C101|                  7,710
CRC|FCF|CRM|C101|                  7,560
CRC|FCF|CRM|C101|                  9,375
CRC|FCF|CRM|C101|                  9,135
CRC|FCF|CRM|C101|                 48,580
CRC|FCF|CRM|C101|                 43,755
CRC|FCF|CRM|C101|                 37,980
CRC|FCF|CRM|C101|                 90,790
CRC|FCF|CRM|C101|                  8,950
CRC|FCF|CRM|C101|                 14,765
CRC|FCF|CRM|C101|                 12,665
CRC|FCF|CRM|C101|                  6,580
CRC|FCF|CRM|C101|                277,165
CRC|FCF|CRM|C101|                142,525
CRC|FCF|CRM|C101|                 16,595
CRC|FCF|CRM|C101|                 25,045
CRC|FCF|CRM|C101|                  6,135
CRC|FCF|CRM|C101|                 17,105
CRC|FCF|CRM|C101|                  6,460
CRC|FCF|CRM|C101|                  4,835
CRC|FCF|CRM|C101|                 18,970
CRC|FCF|CRM|C101|                  6,685
CRC|FCF|CRM|C101|                  8,875
CRC|FCF|CRM|C101|                  5,970
CRC|FCF|CRM|C101|                  5,700
CRC|FCF|CRM|C101|                  9,695
CRC|FCF|CRM|C101|                  7,590
CRC|FCF|CRM|C101|                  9,335
CRC|FCF|CRM|C101|                294,060
CRC|FCF|CRM|C101|                 37,530
CRC|FCF|CRM|C101|                 19,275
CRC|FCF|CRM|C101|                  8,280
CRC|FCF|CRM|C101|                  7,170
CRC|FCF|CRM|C102|                  6,730
CRC|FCF|CRM|C102|                 15,070
CRC|FCF|CRM|C102|                 97,960
CRC|FCF|CRM|C102|                 71,030
CRC|FCF|CRM|C102|                 15,800
CRC|FCF|CRM|C102|                  9,610
CRC|FCF|CRM|C102|                  9,810
CRC|FCF|CRM|C102|                 15,980
CRC|FCF|CRM|C102|                 32,300
CRC|FCF|CRM|C102|                 11,250
CRC|FCF|CRM|C102|                 53,580
CRC|FCF|CRM|C102|                199,230
CRC|FCF|CRM|C102|                 17,810
CRC|FCF|CRM|C102|                 18,800
CRC|FCF|CRM|C102|                  7,940
CRC|FCF|CRM|C102|                 14,130
CRC|FCF|CRM|C102|                211,150
CRC|FCF|CRM|C102|                 12,550
CRC|FCF|CRM|C102|                 20,790
CRC|FCF|CRM|C102|                685,120
CRC|FCF|CRM|C102|                 16,310
CRC|FCF|CRM|C102|                 15,840
CRC|FCF|CRM|C102|                 86,430
CRC|FCF|CRM|C102|                 19,900
CRC|FCF|CRM|C102|                 19,550
CRC|FCF|CRM|C102|                 10,410
CRC|FCF|CRM|C102|                 20,710
CRC|FCF|CRM|C102|                 14,490
CRC|FCF|CRM|C102|                 24,960
CRC|FCF|CRM|C102|                 31,970
CRC|FCF|CRM|C102|                 15,220
CRC|FCF|CRM|C102|                468,090
CRC|FCF|CRM|C102|                 18,630
CRC|FCF|CRM|C102|                 14,250
CRC|FCF|CRM|C102|                 71,790
CRC|FCF|CRM|C102|                 20,030
CRC|FCF|CRM|C102|                 18,590
CRC|FCF|CRM|C102|                  8,650
CRC|FCF|CRM|C102|                 20,730
CRC|FCF|CRM|C102|                 13,770
CRC|FCF|CRM|C102|                 18,380
CRC|FCF|CRM|C102|                 13,360
CRC|FCF|CRM|C102|                502,560
CRC|FCF|CRM|C102|                 16,220
CRC|FCF|CRM|C102|                559,940
CRC|FCF|CRM|C102|              1.512,700
CRC|FCF|CRM|C102|                803,700
CRC|FCF|CRM|C102|                 13,710
CRC|FCF|CRM|C102|                 36,000
CRC|FCF|CRM|C102|                  4,740
CRC|FCF|CRM|C102|                 11,750
CRC|FCF|CRM|C102|                  9,450
CRC|FCF|CRM|C102|                 15,080
CRC|FCF|CRM|C102|                 17,510
CRC|FCF|CRM|C102|                 19,310
CRC|FCF|CRM|C102|                 38,050
CRC|FCF|CRM|C102|                 38,240
CRC|FCF|CRM|C102|                 83,480
CRC|FCF|CRM|C102|                 21,060
CRC|FCF|CRM|C102|                 52,910
CRC|FCF|CRM|C103|                 14,420
CRC|FCF|CRM|C103|                  9,990
CRC|FCF|CRM|C103|                 10,500
CRC|FCF|CRM|C103|                 20,020
CRC|FCF|CRM|C103|                 21,470
CRC|FCF|CRM|C103|                 10,270
CRC|FCF|CRM|C103|                  8,560
CRC|FCF|CRM|C103|                  9,650
CRC|FCF|CRM|C103|                 30,910
CRC|FCF|CRM|C103|                 40,940
CRC|FCF|CRM|C103|                 31,920
CRC|FCF|CRM|C103|                  9,060
CRC|FCF|CRM|C103|                 21,090
CRC|FCF|CRM|C103|                 57,270
CRC|FCF|CRM|C103|                 20,350
CRC|FCF|CRM|C103|                  8,930
CRC|FCF|CRM|C104|                 19,870
CRC|FCF|CRM|C104|                 13,050
CRC|FCF|CRM|C104|                  9,270
CRC|FCF|CRM|C104|                  9,240
CRC|FCF|CRM|C104|                  7,940
CRC|FCF|CRM|C104|                  9,550
CRC|FCF|CRM|C104|                 10,370
CRC|FCF|CRM|C104|                 17,590
CRC|FCF|CRM|C104|                119,860
CRC|FCF|CRM|C104|                123,930
CRC|FCF|CRM|C104|                228,500
CRC|FCF|CRM|C104|                 91,950
CRC|FCF|CRM|C104|                  7,060
CRC|FCF|CRM|C104|                  7,130
CRC|FCF|CRM|C104|                 73,650
CRC|FCF|CRM|C104|                  8,780
CRC|FCF|CRM|C104|                 11,190
CRC|FCF|CRM|C104|                 20,220
CRC|FCF|CRM|C104|                203,790
CRC|FCF|CRM|C104|                 41,830
CRC|FCF|CRM|C104|                 73,320
CRC|FCF|CRM|C104|                 74,400
CRC|FCF|CRM|C104|                 73,430
CRC|FCF|CRM|C104|                 28,180
CRC|FCF|CRM|C104|                  8,870
CRC|FCF|CRM|C104|                  9,250
CRC|FCF|CRM|C104|                 36,780
CRC|FCF|CRM|C104|                 24,680
CRC|FCF|CRM|C104|                 19,450
CRC|FCF|CRM|C104|                 30,780
CRC|FCF|CRM|C104|                 10,650
CRC|FCF|CRM|C104|                  8,760
CRC|FCF|CRM|C105|                 15,820
CRC|FCF|CRM|C105|                 15,780
CRC|FCF|CRM|C105|                 13,195
CRC|FCF|CRM|C105|                  9,690
CRC|FCF|CRM|C105|                 17,690
CRC|FCF|CRM|C105|                  7,350
CRC|FCF|CRM|C105|                 98,280
CRC|FCF|CRM|C105|                  9,240
CRC|FCF|CRM|C105|                 46,190
CRC|FCF|CRM|C105|                 30,700
CRC|FCF|CRM|C105|                129,610
CRC|FCF|CRM|C105|                 37,760
CRC|FCF|CRM|C105|                 15,020
CRC|FCF|CRM|C105|                 68,500
CRC|FCF|CRM|C105|                 30,640
CRC|FCF|CRM|C105|                 11,760
CRC|FCF|CRM|C105|                223,580
CRC|FCF|CRM|C105|                 15,250
CRC|FCF|CRM|C105|                100,380
CRC|FCF|CRM|C105|                  7,550
CRC|FCF|CRM|C105|                  7,470
CRC|FCF|CRM|C105|                 15,170
CRC|FCF|CRM|C105|                 10,200
CRC|FCF|CRM|C105|                 14,560
CRC|FCF|CRM|C105|                 11,330
CRC|FCF|CRM|C105|                 62,880
CRC|FCF|CRM|C105|                  9,930
CRC|FCF|CRM|C105|                  9,830
CRC|FCF|CRM|C105|                 28,770
CRC|FCF|CRM|C105|                116,040
CRC|FCF|CRM|C105|                 14,440
CRC|FCF|CRM|C105|                  9,710
CRC|FCF|CRM|C105|                 14,760
CRC|FCF|CRM|C105|                 39,990
CRC|FCF|CRM|C105|                  9,480
CRC|FCF|CRM|C105|                 13,560
CRC|FCF|CRM|C105|                 78,340
CRC|FCF|CRM|INTR|                  8,740
CRC|FCF|CRM|INTR|                  5,890
CRC|FCF|CRM|INTR|                 20,000
CRC|FCF|CRM|INTR|                 18,290
CRC|FCF|CRM|INTR|                 16,900
CRC|FCF|CRM|INTR|                 15,290
CRC|FCF|CRM|INTR|                 15,980
CRC|FCF|CRM|INTR|                  7,400
CRC|FCF|CRM|INTR|                 16,060
CRC|FCF|CRM|INTR|                 22,190
CRC|FCF|CRM|INTR|                 18,430
CRC|FCF|CRM|INTR|                 16,210
CRC|FCF|CRM|INTR|                 15,420
CRC|FCF|CRM|INTR|                 19,530
CRC|FCF|CRM|INTR|                 18,630
CRC|FCF|CRM|INTR|                 16,400
CRC|FCF|CRM|INTR|                 14,910
CRC|FCF-S|CRM||                217,700
CRC|FCF-S|CRM||                263,540
CRC|FCF-S|CRM||                 61,830
CRC|FCF-S|CRM|C009|                 99,160
CRC|FCF-S|CRM|C101|              1.280,315
CRC|FCF-S|CRM|C102|              2.693,635
CRC|FCF-S|CRM|C103|                304,370
CRC|FCF-S|CRM|C104|                715,015
CRC|FCF-S|CRM|C105|              1.913,240
CRC|FCF-S|CRM|C405|                130,610
CRC|FCF-S|CRM|INNP|                312,560
CRC|FCF-S|CRM|INTR|                177,670
HRC (Excl N1)|HC|HSM|H101|                 21,120
HRC (Excl N1)|HC|HSM|H101|                 14,560
HRC (Excl N1)|HC|HSM|H101|                 15,800
HRC (Excl N1)|HC|HSM|H101|                 20,790
HRC (Excl N1)|HC|HSM|H101|                 16,750
HRC (Excl N1)|HC|HSM|H101|                 27,960
HRC (Excl N1)|HC|HSM|H101|                 33,730
HRC (Excl N1)|HC|HSM|H101|                151,080
HRC (Excl N1)|HC|HSM|H101|                182,830
HRC (Excl N1)|HC|HSM|H101|                218,910
HRC (Excl N1)|HC|HSM|H101|                 83,820
HRC (Excl N1)|HC|HSM|H101|                 33,480
HRC (Excl N1)|HC|HSM|H101|                386,960
HRC (Excl N1)|HC|HSM|H101|                 16,760
HRC (Excl N1)|HC|HSM|H101|                183,430
HRC (Excl N1)|HC|HSM|H101|                435,960
HRC (Excl N1)|HC|HSM|H101|                 16,900
HRC (Excl N1)|HC|HSM|H101|                 34,160
HRC (Excl N1)|HC|HSM|H101|                270,840
HRC (Excl N1)|HC|HSM|H101|                 84,820
HRC (Excl N1)|HC|HSM|H101|                118,540
HRC (Excl N1)|HC|HSM|H101|                 52,920
HRC (Excl N1)|HC|HSM|H101|                 98,760
HRC (Excl N1)|HC|HSM|H101|                 19,780
HRC (Excl N1)|HC|HSM|H101|                 19,720
HRC (Excl N1)|HC|HSM|H101|                 59,200
HRC (Excl N1)|HC|HSM|H101|                 20,530
HRC (Excl N1)|HC|HSM|H101|                 84,520
HRC (Excl N1)|HC|HSM|H101|                 16,960
HRC (Excl N1)|HC|HSM|H101|                 45,730
HRC (Excl N1)|HC|HSM|H101|                 50,840
HRC (Excl N1)|HC|HSM|H101|                 67,810
HRC (Excl N1)|HC|HSM|H101|                 45,860
HRC (Excl N1)|HC|HSM|H101|                 44,120
HRC (Excl N1)|HC|HSM|H101|                 21,980
HRC (Excl N1)|HC|HSM|H101|                 12,720
HRC (Excl N1)|HC|HSM|H101|                  6,960
HRC (Excl N1)|HC|HSM|H101|                 20,380
HRC (Excl N1)|HC|HSM|H101|                 61,700
HRC (Excl N1)|HC|HSM|H101|                 20,050
HRC (Excl N1)|HC|HSM|H101|                 16,560
HRC (Excl N1)|HC|HSM|H101|                 41,420
HRC (Excl N1)|HC|HSM|H101|                 20,640
HRC (Excl N1)|HC|HSM|H101|                 22,850
HRC (Excl N1)|HC|HSM|H101|                 20,160
HRC (Excl N1)|HC|HSM|H101|                 82,000
HRC (Excl N1)|HC|HSM|H101|                 22,560
HRC (Excl N1)|HC|HSM|H101|                 22,500
HRC (Excl N1)|HC|HSM|H101|                 16,650
HRC (Excl N1)|HC|HSM|H101|                 22,920
HRC (Excl N1)|HC|HSM|H101|                 20,220
HRC (Excl N1)|HC|HSM|H101|                 11,400
HRC (Excl N1)|HC|HSM|H101|                 20,180
HRC (Excl N1)|HC|HSM|H101|                 98,520
HRC (Excl N1)|HC|HSM|H101|                 43,880
HRC (Excl N1)|HC|HSM|H101|                 43,720
HRC (Excl N1)|HC|HSM|H101|                 17,020
HRC (Excl N1)|HC|HSM|H101|                180,360
HRC (Excl N1)|HC|HSM|H101|                 22,600
HRC (Excl N1)|HC|HSM|H101|                 39,100
HRC (Excl N1)|HC|HSM|H101|                 19,700
HRC (Excl N1)|HC|HSM|H101|                 27,120
HRC (Excl N1)|HC|HSM|H101|                 19,680
HRC (Excl N1)|HC|HSM|H101|                 27,040
HRC (Excl N1)|HC|HSM|H101|                 53,440
HRC (Excl N1)|HC|HSM|H101|                 53,740
HRC (Excl N1)|HC|HSM|H101|                 19,720
HRC (Excl N1)|HC|HSM|H101|                 54,280
HRC (Excl N1)|HC|HSM|H101|                 54,040
HRC (Excl N1)|HC|HSM|H101|                 26,880
HRC (Excl N1)|HC|HSM|H101|                 54,200
HRC (Excl N1)|HC|HSM|H101|                 20,030
HRC (Excl N1)|HC|HSM|H101|                 86,300
HRC (Excl N1)|HC|HSM|H101|                 96,720
HRC (Excl N1)|HC|HSM|H101|                 58,660
HRC (Excl N1)|HC|HSM|H101|                 27,790
HRC (Excl N1)|HC|HSM|H101|                 39,000
HRC (Excl N1)|HC|HSM|H101|                 50,800
HRC (Excl N1)|HC|HSM|H101|                 79,080
HRC (Excl N1)|HC|HSM|H101|                 39,220
HRC (Excl N1)|HC|HSM|H101|                 59,390
HRC (Excl N1)|HC|HSM|H101|                 51,100
