Material|Material Description|Sales Value (Rp)|Sales Value ($)|Billing Date|Billing Number|Net Weight|UoM|Dist. Channel|Invoice Value (Rp)|DP Value (Rp)|PPn Value (Rp)|PPh Value (Rp)|Invoice Value ($)|DP Value ($)|PPn Value ($)|PPh Value ($)
HSF-S|H R Sheet/Plate Finished - Stock|   2.035.956.400,00|         135.839,01|20181002|8000264594|         45.087,000|PC|D0|   2.035.956.400,00|               0,00|     203.595.640,00|               0,00|         135.839,01|               0,00|          13.583,90|               0,00
HSF-S|H R Sheet/Plate Finished - Stock|               0,00|               0,00|20181002|8000264594|         35.230,000|PC|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF-S|H R Sheet/Plate Finished - Stock|               0,00|               0,00|20181002|8000264594|          8.400,000|PC|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF-S|H R Sheet/Plate Finished - Stock|               0,00|               0,00|20181002|8000264594|         13.821,000|PC|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF-S|H R Sheet/Plate Finished - Stock|               0,00|               0,00|20181002|8000264594|         26.320,000|PC|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      71.610.000,00|           4.804,32|20181001|8000262177|          7.700,000|TO|D0|      78.985.830,00|               0,00|       7.161.000,00|         214.830,00|           5.299,16|               0,00|             480,43|              14,41
HSF|H R Sheet/Plate Finished|      39.901.792,00|           2.662,25|20181002|8000262235|          4.240,000|TO|D0|      44.011.676,00|               0,00|       3.990.179,00|         119.705,00|           2.936,46|               0,00|             266,22|               7,99
HCF|H R Coil Finished|     516.152.000,00|          34.210,56|20181003|8000262399|          7.160,000|TO|D0|     567.767.200,00|               0,00|      51.615.200,00|               0,00|          37.631,61|               0,00|           3.421,05|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262399|          7.760,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262399|         17.820,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262399|          8.000,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262399|         15.980,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
PCF|H R P&O Coil Finished|     103.008.000,00|           6.827,37|20181003|8000262411|         10.730,000|TO|D0|     113.617.824,00|               0,00|      10.300.800,00|         309.024,00|           7.530,59|               0,00|             682,74|              20,48
HCF|H R Coil Finished|     290.654.000,00|          19.264,55|20181003|8000262400|          7.420,000|TO|D0|     319.719.400,00|               0,00|      29.065.400,00|               0,00|          21.191,00|               0,00|           1.926,45|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262400|         16.280,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262400|          8.240,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      88.136.000,00|           5.841,65|20181003|8000262412|          9.580,000|TO|D0|      97.214.008,00|               0,00|       8.813.600,00|         264.408,00|           6.443,34|               0,00|             584,17|              17,52
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262403|         21.570,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     569.335.822,00|          37.735,58|20181003|8000262403|         36.370,000|TO|D0|     627.977.411,00|               0,00|      56.933.582,00|       1.708.007,00|          41.622,34|               0,00|           3.773,56|             113,20
HCF|H R Coil Finished|      83.514.000,00|           5.535,30|20181003|8000262436|          8.980,000|TO|D0|      92.115.942,00|               0,00|       8.351.400,00|         250.542,00|           6.105,44|               0,00|             553,53|              16,61
HCF|H R Coil Finished|      69.184.000,00|           4.641,55|20181001|8000262201|          7.520,000|TO|D0|      76.309.952,00|               0,00|       6.918.400,00|         207.552,00|           5.119,63|               0,00|             464,16|              13,92
HCF|H R Coil Finished|      91.698.000,00|           6.152,02|20181001|8000262202|          9.860,000|TO|D0|     101.142.894,00|               0,00|       9.169.800,00|         275.094,00|           6.785,68|               0,00|             615,20|              18,46
PCF|H R P&O Coil Finished|      92.464.416,00|           6.203,44|20181001|8000262168|          8.910,000|TO|D0|     101.710.857,00|               0,00|       9.246.441,00|               0,00|           6.823,78|               0,00|             620,34|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262376|         10.420,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|   1.121.730.000,00|          74.348,27|20181003|8000262376|         51.420,000|TO|D0|   1.237.268.190,00|               0,00|     112.173.000,00|       3.365.190,00|          82.006,14|               0,00|           7.434,83|             223,04
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262376|         45.020,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262376|         11.100,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|   1.333.824.000,00|          89.486,25|20181001|8000262160|         43.600,000|TO|D0|   1.471.207.872,00|               0,00|     133.382.400,00|       4.001.472,00|          98.703,34|               0,00|           8.948,63|             268,46
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262160|         52.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262160|         42.540,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     826.368.000,00|          55.135,29|20181002|8000262221|         22.160,000|TO|D0|     911.483.904,00|               0,00|      82.636.800,00|       2.479.104,00|          60.814,21|               0,00|           5.513,52|             165,40
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262221|         10.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262221|         32.360,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262221|         20.760,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     513.408.000,00|          34.028,69|20181003|8000262377|         21.080,000|TO|D0|     566.289.024,00|               0,00|      51.340.800,00|       1.540.224,00|          37.533,64|               0,00|           3.402,87|             102,08
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262377|         21.140,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262377|         11.260,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     517.632.000,00|          34.727,94|20181001|8000262161|         53.920,000|TO|D0|     570.948.096,00|               0,00|      51.763.200,00|       1.552.896,00|          38.304,91|               0,00|           3.472,79|             104,18
HCF|H R Coil Finished|     903.552.000,00|          60.284,98|20181002|8000262222|         62.880,000|TO|D0|     996.617.856,00|               0,00|      90.355.200,00|       2.710.656,00|          66.494,34|               0,00|           6.028,50|             180,86
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262222|         21.120,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262222|         10.120,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|   1.037.218.456,00|          69.586,98|20181001|8000262162|          3.590,000|TO|D0|   1.144.051.956,00|               0,00|     103.721.845,00|       3.111.655,00|          76.754,45|               0,00|           6.958,70|             208,77
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262162|         17.670,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262162|         10.740,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262162|         24.870,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262162|         10.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262162|          3.670,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262162|          3.670,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262162|          7.250,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262162|         19.000,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262223|          3.290,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262223|          7.630,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     351.325.360,00|          23.440,42|20181002|8000262223|          6.180,000|TO|D0|     387.511.872,00|               0,00|      35.132.536,00|       1.053.976,00|          25.854,79|               0,00|           2.344,04|              70,33
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262223|          2.920,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262223|         14.340,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      97.920.000,00|           6.490,14|20181003|8000262389|         10.200,000|TO|D0|     108.005.760,00|               0,00|       9.792.000,00|         293.760,00|           7.158,62|               0,00|             649,01|              19,47
HCF|H R Coil Finished|      73.152.000,00|           4.880,70|20181002|8000262236|          7.620,000|TO|D0|      80.686.656,00|               0,00|       7.315.200,00|         219.456,00|           5.383,41|               0,00|             488,07|              14,64
HCF|H R Coil Finished|      90.240.000,00|           6.020,82|20181002|8000262237|          9.400,000|TO|D0|      99.534.720,00|               0,00|       9.024.000,00|         270.720,00|           6.640,96|               0,00|             602,08|              18,06
HCF|H R Coil Finished|      92.530.000,00|           6.173,60|20181002|8000262238|          9.740,000|TO|D0|     102.060.590,00|               0,00|       9.253.000,00|         277.590,00|           6.809,48|               0,00|             617,36|              18,52
HCF|H R Coil Finished|      89.870.000,00|           5.956,58|20181003|8000262390|          9.460,000|TO|D0|      99.126.610,00|               0,00|       8.987.000,00|         269.610,00|           6.570,11|               0,00|             595,66|              17,87
HCF|H R Coil Finished|   1.312.660.884,00|          87.580,74|20181002|8000262216|         30.740,000|TO|D0|   1.443.926.972,00|               0,00|     131.266.088,00|               0,00|          96.338,81|               0,00|           8.758,07|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262216|         31.340,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262216|         32.200,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262216|         41.300,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     460.467.264,00|          30.519,77|20181003|8000262365|         47.560,000|TO|D0|     506.513.990,00|               0,00|      46.046.726,00|               0,00|          33.571,75|               0,00|           3.051,98|               0,00
HSF|H R Sheet/Plate Finished|     219.544.500,00|          14.729,24|20181001|8000262155|         21.630,000|TO|D0|     241.498.950,00|               0,00|      21.954.450,00|               0,00|          16.202,16|               0,00|           1.472,92|               0,00
HSF|H R Sheet/Plate Finished|     248.403.000,00|          16.665,35|20181001|8000262192|         26.710,000|TO|D0|     273.988.509,00|               0,00|      24.840.300,00|         745.209,00|          18.381,89|               0,00|           1.666,54|              50,00
HSF|H R Sheet/Plate Finished|     194.206.250,00|          12.871,99|20181003|8000262441|         20.125,000|TO|D0|     214.209.493,00|               0,00|      19.420.625,00|         582.618,00|          14.197,81|               0,00|           1.287,20|              38,62
HSF|H R Sheet/Plate Finished|     225.115.200,00|          14.920,64|20181003|8000262442|         23.328,000|TO|D0|     248.302.065,00|               0,00|      22.511.520,00|         675.345,00|          16.457,46|               0,00|           1.492,06|              44,76
HSF|H R Sheet/Plate Finished|      29.594.880,00|           1.961,56|20181003|8000262366|          2.880,000|TO|D0|      32.643.152,00|               0,00|       2.959.488,00|          88.784,00|           2.163,59|               0,00|             196,15|               5,88
HSF|H R Sheet/Plate Finished|     519.405.000,00|          34.426,16|20181003|8000262367|         27.930,000|TO|D0|     572.903.715,00|               0,00|      51.940.500,00|       1.558.215,00|          37.972,06|               0,00|           3.442,62|             103,28
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262367|         27.920,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      98.304.000,00|           6.515,58|20181003|8000262368|         10.240,000|TO|D0|     108.429.312,00|               0,00|       9.830.400,00|         294.912,00|           7.186,69|               0,00|             651,56|              19,55
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262410|         29.940,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     313.915.824,00|          20.806,34|20181003|8000262410|          2.680,000|TO|D0|     346.249.153,00|               0,00|      31.391.582,00|         941.747,00|          22.949,39|               0,00|           2.080,63|              62,42
HSF|H R Sheet/Plate Finished|     691.176.000,00|          46.371,00|20181001|8000262156|         14.670,000|TO|D0|     762.367.128,00|               0,00|      69.117.600,00|       2.073.528,00|          51.147,21|               0,00|           4.637,10|             139,11
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262156|         10.090,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262156|         39.440,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262156|         10.120,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     150.189.424,00|          10.020,64|20181002|8000262217|         15.620,000|TO|D0|     165.658.934,00|               0,00|      15.018.942,00|         450.568,00|          11.052,76|               0,00|           1.002,06|              30,06
HSF|H R Sheet/Plate Finished|     303.744.168,00|          20.132,16|20181003|8000262369|         18.600,000|TO|D0|     335.029.816,00|               0,00|      30.374.416,00|         911.232,00|          22.205,78|               0,00|           2.013,22|              60,40
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262369|          3.770,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262369|          9.220,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
PCF|H R P&O Coil Finished|     303.100.000,00|          20.334,98|20181001|8000262203|         30.310,000|TO|D0|     334.319.300,00|               0,00|      30.310.000,00|         909.300,00|          22.429,48|               0,00|           2.033,50|              61,00
HCF|H R Coil Finished|     656.254.039,00|          43.785,27|20181002|8000262250|         57.360,000|TO|D0|     721.879.442,00|               0,00|      65.625.403,00|               0,00|          48.163,80|               0,00|           4.378,53|               0,00
HCF|H R Coil Finished|     181.830.000,00|          12.131,70|20181002|8000262218|         19.140,000|TO|D0|     200.013.000,00|               0,00|      18.183.000,00|               0,00|          13.344,87|               0,00|           1.213,17|               0,00
HCF|H R Coil Finished|     178.410.000,00|          11.825,02|20181003|8000262372|         18.780,000|TO|D0|     196.251.000,00|               0,00|      17.841.000,00|               0,00|          13.007,52|               0,00|           1.182,50|               0,00
HSF|H R Sheet/Plate Finished|     187.418.784,00|          12.573,93|20181001|8000262178|         18.470,000|TO|D0|     206.722.918,00|               0,00|      18.741.878,00|         562.256,00|          13.869,04|               0,00|           1.257,39|              37,72
HSF|H R Sheet/Plate Finished|     884.429.952,00|          59.009,18|20181002|8000262239|         32.530,000|TO|D0|     975.526.236,00|               0,00|      88.442.995,00|       2.653.289,00|          65.087,11|               0,00|           5.900,91|             177,02
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262239|         20.730,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262239|         15.750,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262239|         18.150,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|      99.949.920,00|           6.705,64|20181001|8000262179|          9.850,000|TO|D0|     110.244.761,00|               0,00|       9.994.992,00|         299.849,00|           7.396,32|               0,00|             670,56|              20,12
HSF|H R Sheet/Plate Finished|     159.609.000,00|          10.708,17|20181001|8000262193|         16.600,000|TO|D0|     176.048.727,00|               0,00|      15.960.900,00|         478.827,00|          11.811,11|               0,00|           1.070,82|              32,12
HSF|H R Sheet/Plate Finished|     194.928.000,00|          12.919,83|20181003|8000262404|         13.760,000|TO|D0|     215.005.584,00|               0,00|      19.492.800,00|         584.784,00|          14.250,57|               0,00|           1.291,98|              38,76
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262404|          7.200,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     522.969.216,00|          34.892,51|20181002|8000262240|         22.240,000|TO|D0|     576.835.044,00|               0,00|      52.296.921,00|       1.568.907,00|          38.486,43|               0,00|           3.489,24|             104,68
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262240|         18.010,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262240|         13.580,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      90.048.000,00|           5.968,37|20181003|8000262391|          9.380,000|TO|D0|      99.322.944,00|               0,00|       9.004.800,00|         270.144,00|           6.583,12|               0,00|             596,84|              17,91
HSF|H R Sheet/Plate Finished|     410.761.344,00|          27.225,25|20181003|8000262405|         11.500,000|TO|D0|     453.069.762,00|               0,00|      41.076.134,00|       1.232.284,00|          30.029,46|               0,00|           2.722,53|              81,68
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262405|         27.840,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262405|          3.380,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
PCF|H R P&O Coil Finished|     191.400.000,00|          12.685,99|20181003|8000262378|         19.140,000|TO|D0|     211.114.200,00|               0,00|      19.140.000,00|         574.200,00|          13.992,65|               0,00|           1.268,60|              38,06
HCF|H R Coil Finished|     184.652.000,00|          12.388,30|20181001|8000262158|         17.420,000|TO|D0|     203.117.200,00|               0,00|      18.465.200,00|               0,00|          13.627,13|               0,00|           1.238,83|               0,00
HCF|H R Coil Finished|     364.428.000,00|          24.154,29|20181003|8000262373|         34.380,000|TO|D0|     400.870.800,00|               0,00|      36.442.800,00|               0,00|          26.569,72|               0,00|           2.415,43|               0,00
HCF|H R Coil Finished|     374.640.000,00|          25.134,60|20181001|8000262159|         31.220,000|TO|D0|     412.104.000,00|               0,00|      37.464.000,00|               0,00|          27.648,06|               0,00|           2.513,46|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262248|          3.260,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     134.166.912,00|           8.951,61|20181002|8000262248|         10.550,000|TO|D0|     147.986.103,00|               0,00|      13.416.691,00|         402.500,00|           9.873,63|               0,00|             895,16|              26,86
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|         17.970,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|          4.590,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|   1.218.028.320,00|          81.266,85|20181002|8000262224|          4.910,000|TO|D0|   1.343.485.236,00|               0,00|     121.802.832,00|       3.654.084,00|          89.637,33|               0,00|           8.126,68|             243,80
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|         13.460,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|          4.930,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|         13.360,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|         13.490,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|         17.250,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|         11.940,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181002|8000262224|         18.100,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262379|          4.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     857.063.256,00|          56.806,15|20181003|8000262379|         23.750,000|TO|D0|     945.340.770,00|               0,00|      85.706.325,00|       2.571.189,00|          62.657,19|               0,00|           5.680,62|             170,42
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262379|          2.680,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262379|         22.300,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262379|          4.470,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262379|          8.820,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262379|         10.390,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262379|          3.820,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262379|          3.390,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      70.110.000,00|           4.677,75|20181002|8000262225|          7.380,000|TO|D0|      77.331.330,00|               0,00|       7.011.000,00|         210.330,00|           5.159,55|               0,00|             467,77|              14,03
HSF|H R Sheet/Plate Finished|     229.226.368,00|          15.378,80|20181001|8000262163|          7.670,000|TO|D0|     252.836.683,00|               0,00|      22.922.636,00|         687.679,00|          16.962,81|               0,00|           1.537,88|              46,13
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262163|         16.170,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     376.050.472,00|          25.229,22|20181001|8000262164|          8.590,000|TO|D0|     414.783.670,00|               0,00|      37.605.047,00|       1.128.151,00|          27.827,84|               0,00|           2.522,93|              75,69
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262164|         21.690,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262164|          8.830,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     124.063.104,00|           8.277,49|20181002|8000262226|         12.770,000|TO|D0|     136.841.603,00|               0,00|      12.406.310,00|         372.189,00|           9.130,07|               0,00|             827,75|              24,83
HSF|H R Sheet/Plate Finished|     227.664.000,00|          15.189,75|20181002|8000262266|         24.480,000|TO|D0|     251.113.392,00|               0,00|      22.766.400,00|         682.992,00|          16.754,29|               0,00|           1.518,97|              45,57
HSF|H R Sheet/Plate Finished|     407.247.000,00|          26.992,33|20181003|8000262443|         20.160,000|TO|D0|     449.193.441,00|               0,00|      40.724.700,00|       1.221.741,00|          29.772,54|               0,00|           2.699,23|              80,98
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262443|         23.630,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     932.325.000,00|          62.549,67|20181001|8000262211|         25.620,000|TO|D0|   1.025.557.500,00|               0,00|      93.232.500,00|               0,00|          68.804,65|               0,00|           6.254,98|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262211|          4.300,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262211|          4.280,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181001|8000262211|         23.230,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
